Date,Time,lat,lng,alt,G1,G2,G3,G4
11/19/2019/,6:07:58,6.800733,79.900848,0,313,318,11.7419,0.157
11/19/2019/,6:07:58,6.800733,79.900848,0,307,312,11.7419,0.157
11/19/2019/,6:07:58,6.800733,79.900848,0,297,302,9.7889,0.1473
11/19/2019/,6:08:09,6.80072,79.900841,0,288,293,9.7889,0.0986
11/19/2019/,6:08:09,6.80072,79.900841,0,276,281,9.7889,0.0986
11/19/2019/,6:08:09,6.80072,79.900841,0,272,276,8.8123,0.1181
11/19/2019/,6:08:20,6.800709,79.900879,0,270,274,6.8592,0.1473
11/19/2019/,6:08:20,6.800709,79.900879,0,266,270,6.8592,0.1473
11/19/2019/,6:08:20,6.800709,79.900879,0,260,264,11.7419,0.1375
11/19/2019/,6:08:31,6.800698,79.900864,0,257,261,11.7419,0.157
11/19/2019/,6:08:31,6.800698,79.900864,0,250,254,11.7419,0.157
11/19/2019/,6:08:31,6.800698,79.900864,0,242,246,10.7654,0.1667
11/19/2019/,6:08:42,6.800704,79.900879,0,236,240,8.8123,0.1278
11/19/2019/,6:08:42,6.800704,79.900879,0,237,241,8.8123,0.1278
11/19/2019/,6:08:42,6.800704,79.900879,0,243,247,9.7889,0.1473
11/19/2019/,6:08:53,6.800701,79.900871,0,250,254,10.7654,0.1473
11/19/2019/,6:08:53,6.800701,79.900871,0,255,259,10.7654,0.1473
11/19/2019/,6:08:53,6.800701,79.900871,0,252,256,11.7419,0.157
11/19/2019/,6:09:04,6.800711,79.900887,0,248,252,9.7889,0.1375
11/19/2019/,6:09:04,6.800711,79.900887,0,248,252,9.7889,0.1375
11/19/2019/,6:09:04,6.800711,79.900887,0,250,254,8.8123,0.1375
11/19/2019/,6:09:15,6.800728,79.90094,0,252,256,9.7889,0.1473
11/19/2019/,6:09:15,6.800728,79.90094,0,254,258,9.7889,0.1473
11/19/2019/,6:09:15,6.800728,79.90094,0,266,270,9.7889,0.1375
11/19/2019/,6:09:26,6.800708,79.90097,0,283,288,12.7185,0.1375
11/19/2019/,6:09:26,6.800708,79.90097,0,300,305,12.7185,0.1375
11/19/2019/,6:09:26,6.800708,79.90097,0,317,322,10.7654,0.1667
11/19/2019/,6:09:37,6.800578,79.900719,0,322,327,9.7889,0.1473
11/19/2019/,6:09:37,6.800578,79.900719,0,307,312,9.7889,0.1473
11/19/2019/,6:09:37,6.800578,79.900719,0,248,252,15.6481,0.1862
11/19/2019/,6:09:48,6.800601,79.900711,0,224,228,15.6481,0.1959
11/19/2019/,6:09:48,6.800601,79.900711,0,229,233,15.6481,0.1959
11/19/2019/,6:09:48,6.800601,79.900711,0,242,246,13.695,0.1862
11/19/2019/,6:09:59,6.800639,79.900696,0,248,252,16.6246,0.1667
11/19/2019/,6:09:59,6.800639,79.900696,0,230,234,16.6246,0.1667
11/19/2019/,6:09:59,6.800639,79.900696,0,217,221,12.7185,0.2056
11/19/2019/,6:10:10,6.800624,79.900681,0,258,262,13.695,0.1473
11/19/2019/,6:10:10,6.800624,79.900681,0,345,350,13.695,0.1473
11/19/2019/,6:10:10,6.800624,79.900681,0,369,375,15.6481,0.1764
11/19/2019/,6:10:21,6.800508,79.900642,0,342,347,14.6716,0.2056
11/19/2019/,6:10:21,6.800508,79.900642,0,296,301,14.6716,0.2056
11/19/2019/,6:10:21,6.800508,79.900642,0,302,307,12.7185,0.1764
11/19/2019/,6:10:32,6.800269,79.900749,0,292,297,14.6716,0.1862
11/19/2019/,6:10:32,6.800269,79.900749,0,283,288,14.6716,0.1862
11/19/2019/,6:10:32,6.800269,79.900749,0,260,264,14.6716,0.1764
11/19/2019/,6:10:43,6.800239,79.900833,0,223,227,14.6716,0.1764
11/19/2019/,6:10:43,6.800239,79.900833,0,216,220,14.6716,0.1764
11/19/2019/,6:10:43,6.800239,79.900833,0,234,238,13.695,0.1862
11/19/2019/,6:10:54,6.80043,79.900871,0,256,260,15.6481,0.1959
11/19/2019/,6:10:54,6.80043,79.900871,0,252,256,15.6481,0.1959
11/19/2019/,6:10:54,6.80043,79.900871,0,239,243,15.6481,0.1959
11/19/2019/,6:11:05,6.800862,79.900902,0,223,227,16.6246,0.2056
11/19/2019/,6:11:05,6.800862,79.900902,0,245,249,16.6246,0.2056
11/19/2019/,6:11:05,6.800862,79.900902,0,260,264,16.6246,0.2056
11/19/2019/,6:11:16,6.801212,79.900742,0,274,279,16.6246,0.1959
11/19/2019/,6:11:16,6.801212,79.900742,0,284,289,16.6246,0.1959
11/19/2019/,6:11:16,6.801212,79.900742,0,302,307,14.6716,0.1862
11/19/2019/,6:11:27,6.801203,79.900345,0,323,328,15.6481,0.1862
11/19/2019/,6:11:27,6.801203,79.900345,0,312,317,15.6481,0.1862
11/19/2019/,6:11:27,6.801203,79.900345,0,300,305,15.6481,0.1959
11/19/2019/,6:11:38,6.801262,79.899811,0,281,286,15.6481,0.1959
11/19/2019/,6:11:38,6.801262,79.899811,0,273,278,15.6481,0.1959
11/19/2019/,6:11:38,6.801262,79.899811,0,272,276,16.6246,0.1764
11/19/2019/,6:11:49,6.801273,79.899223,0,272,276,16.6246,0.2056
11/19/2019/,6:11:49,6.801273,79.899223,0,235,239,16.6246,0.2056
11/19/2019/,6:11:49,6.801273,79.899223,0,220,224,15.6481,0.1959
11/19/2019/,6:12:00,6.801196,79.898621,0,235,239,17.6012,0.1862
11/19/2019/,6:12:00,6.801196,79.898621,0,247,251,17.6012,0.1862
11/19/2019/,6:12:00,6.801196,79.898621,0,208,212,17.6012,0.2056
11/19/2019/,6:12:11,6.800974,79.898125,0,147,150,13.695,0.1862
11/19/2019/,6:12:11,6.800974,79.898125,0,126,129,13.695,0.1862
11/19/2019/,6:12:11,6.800974,79.898125,0,136,139,17.6012,0.1959
11/19/2019/,6:12:22,6.800578,79.897575,0,134,137,15.6481,0.1764
11/19/2019/,6:12:22,6.800578,79.897575,0,115,118,15.6481,0.1764
11/19/2019/,6:12:22,6.800578,79.897575,0,101,103,17.6012,0.1959
11/19/2019/,6:12:33,6.800231,79.897034,0,94,96,15.6481,0.1862
11/19/2019/,6:12:33,6.800231,79.897034,0,88,90,15.6481,0.1862
11/19/2019/,6:12:33,6.800231,79.897034,0,84,86,15.6481,0.1862
11/19/2019/,6:12:44,6.799766,79.896629,0,85,87,15.6481,0.1862
11/19/2019/,6:12:44,6.799766,79.896629,0,86,88,15.6481,0.1862
11/19/2019/,6:12:44,6.799766,79.896629,0,85,87,15.6481,0.1959
11/19/2019/,6:12:55,6.79924,79.896248,0,84,86,15.6481,0.1959
11/19/2019/,6:12:55,6.79924,79.896248,0,83,85,15.6481,0.1959
11/19/2019/,6:12:55,6.79924,79.896248,0,79,81,16.6246,0.1959
11/19/2019/,6:13:06,6.798638,79.89592,0,77,79,16.6246,0.1959
11/19/2019/,6:13:06,6.798638,79.89592,0,76,78,16.6246,0.1959
11/19/2019/,6:13:06,6.798638,79.89592,0,77,79,14.6716,0.1959
11/19/2019/,6:13:17,6.798071,79.895607,0,76,78,15.6481,0.1862
11/19/2019/,6:13:17,6.798071,79.895607,0,74,76,15.6481,0.1862
11/19/2019/,6:13:17,6.798071,79.895607,0,68,70,14.6716,0.2056
11/19/2019/,6:13:28,6.797477,79.89547,0,7168,0,16.6246,0.1959
11/19/2019/,6:13:28,6.797477,79.89547,0,62,64,16.6246,0.1959
11/19/2019/,6:13:35,6.797051,79.89547,-24,66,19712,11.7419,0.2056
11/19/2019/,6:13:35,6.797051,79.89547,-24,7168,0,11.7419,0.2056
11/19/2019/,6:13:35,6.797051,79.89547,-24,62,64,18.5777,0.2153
11/19/2019/,6:13:46,6.796607,79.895378,-24,66,19712,15.6481,0.1959
11/19/2019/,6:13:46,6.796607,79.895378,-24,7168,0,15.6481,0.1959
11/19/2019/,6:13:46,6.796607,79.895378,-24,69,71,14.6716,0.1959
11/19/2019/,6:13:57,6.796535,79.895302,-24,66,19712,12.7185,0.1862
11/19/2019/,6:13:57,6.796535,79.895302,-24,7168,0,12.7185,0.1862
11/19/2019/,6:13:57,6.796535,79.895302,-24,99,101,15.6481,0.1959
11/19/2019/,6:14:08,6.796501,79.895248,-24,66,19712,17.6012,0.1764
11/19/2019/,6:14:08,6.796501,79.895248,-24,7168,0,17.6012,0.1764
11/19/2019/,6:14:08,6.796501,79.895248,-24,146,149,15.6481,0.1862
11/19/2019/,6:14:19,6.796551,79.894836,-24,66,19712,15.6481,0.1862
11/19/2019/,6:14:19,6.796551,79.894836,-24,7168,0,15.6481,0.1862
11/19/2019/,6:14:19,6.796551,79.894836,-24,132,135,15.6481,0.1959
11/19/2019/,6:14:30,6.796686,79.894302,-24,66,19712,12.7185,0.2056
11/19/2019/,6:14:30,6.796686,79.894302,-24,7168,0,12.7185,0.2056
0/0/2000/,6:14:34,6.796742,79.894104,-24,118,121,16.6246,0.1959
0/0/2000/,6:14:34,6.796742,79.894104,-24,66,19712,16.6246,0.1959
0/0/2000/,6:14:34,6.796742,79.894104,-24,7168,0,16.6246,0.1959
11/19/2019/,6:14:48,6.79693,79.893402,-24,157,160,15.6481,0.2251
11/19/2019/,6:14:48,6.79693,79.893402,-24,66,19712,15.6481,0.2251
11/19/2019/,6:14:48,6.79693,79.893402,-24,7168,0,14.6716,0.1959
11/19/2019/,6:14:59,6.797166,79.892937,-24,124,127,14.6716,0.1862
11/19/2019/,6:14:59,6.797166,79.892937,-24,111,114,14.6716,0.1862
11/19/2019/,6:14:59,6.797166,79.892937,-24,7168,0,16.6246,0.1959
11/19/2019/,6:15:10,6.797379,79.892464,-24,110,113,16.6246,0.1959
11/19/2019/,6:15:10,6.797379,79.892464,-24,109,112,16.6246,0.1959
11/19/2019/,6:15:10,6.797379,79.892464,-24,7168,0,16.6246,0.1862
11/19/2019/,6:15:21,6.797557,79.89193,-24,116,119,16.6246,0.1959
11/19/2019/,6:15:21,6.797557,79.89193,-24,121,124,16.6246,0.1959
11/19/2019/,6:15:21,6.797557,79.89193,-24,7168,0,16.6246,0.1764
11/19/2019/,6:15:32,6.797735,79.891365,-24,142,145,16.6246,0.2056
11/19/2019/,6:15:32,6.797735,79.891365,-24,154,157,16.6246,0.2056
11/19/2019/,6:15:32,6.797735,79.891365,-24,7168,0,18.5777,0.1959
11/19/2019/,6:15:43,6.797783,79.890793,-24,145,148,16.6246,0.1959
11/19/2019/,6:15:43,6.797783,79.890793,-24,130,133,16.6246,0.1959
11/19/2019/,6:15:43,6.797783,79.890793,-24,7168,0,16.6246,0.1862
11/19/2019/,6:15:54,6.79766,79.890228,-24,119,122,16.6246,0.1862
11/19/2019/,6:15:54,6.79766,79.890228,-24,116,119,16.6246,0.1862
11/19/2019/,6:15:54,6.79766,79.890228,-24,7168,0,15.6481,0.1862
11/19/2019/,6:16:05,6.797563,79.889786,-24,114,117,17.6012,0.1862
11/19/2019/,6:16:05,6.797563,79.889786,-24,116,119,17.6012,0.1862
11/19/2019/,6:16:05,6.797563,79.889786,-24,122,125,15.6481,0.1959
11/19/2019/,6:16:16,6.797534,79.889511,-24,124,127,15.6481,0.2056
11/19/2019/,6:16:16,6.797534,79.889511,-24,130,133,15.6481,0.2056
11/19/2019/,6:16:16,6.797534,79.889511,-24,145,148,16.6246,0.1764
11/19/2019/,6:16:27,6.797435,79.88913,-24,182,185,15.6481,0.1959
11/19/2019/,6:16:27,6.797435,79.88913,-24,224,228,15.6481,0.1959
11/19/2019/,6:16:27,6.797435,79.88913,-24,240,244,15.6481,0.2056
11/19/2019/,6:16:38,6.797409,79.889008,-24,249,253,15.6481,0.2056
11/19/2019/,6:16:38,6.797409,79.889008,-24,249,253,15.6481,0.2056
11/19/2019/,6:16:38,6.797409,79.889008,-24,254,258,16.6246,0.1959
11/19/2019/,6:16:49,6.797421,79.889015,-24,255,259,14.6716,0.1959
11/19/2019/,6:16:49,6.797421,79.889015,-24,244,248,14.6716,0.1959
11/19/2019/,6:16:49,6.797421,79.889015,-24,246,250,16.6246,0.2056
11/19/2019/,6:17:00,6.797421,79.88903,-24,309,314,15.6481,0.1959
11/19/2019/,6:17:00,6.797421,79.88903,-24,401,407,15.6481,0.1959
11/19/2019/,6:17:00,6.797421,79.88903,-24,431,437,15.6481,0.1862
11/19/2019/,6:17:11,6.797408,79.889069,-24,462,469,15.6481,0.1959
11/19/2019/,6:17:11,6.797408,79.889069,-24,485,492,15.6481,0.1959
11/19/2019/,6:17:11,6.797408,79.889069,-24,541,549,15.6481,0.1959
11/19/2019/,6:17:22,6.797403,79.889069,-24,649,658,13.695,0.1959
11/19/2019/,6:17:22,6.797403,79.889069,-24,742,752,13.695,0.1959
11/19/2019/,6:17:22,6.797403,79.889069,-24,823,834,16.6246,0.1959
11/19/2019/,6:17:33,6.797407,79.889061,-24,0,0,15.6481,0.1667
11/19/2019/,6:17:33,6.797407,79.889061,-24,836,847,15.6481,0.1667
11/19/2019/,6:17:33,6.797407,79.889061,-24,820,834,16.6246,0.2056
11/19/2019/,6:17:44,6.797409,79.889046,-24,850,861,17.6012,0.1959
11/19/2019/,6:17:44,6.797409,79.889046,-24,924,936,17.6012,0.1959
11/19/2019/,6:17:44,6.797409,79.889046,-24,989,834,15.6481,0.1764
11/19/2019/,6:17:55,6.797385,79.888878,-24,1000,1013,13.695,0.1959
11/19/2019/,6:17:55,6.797385,79.888878,-24,945,958,13.695,0.1959
11/19/2019/,6:17:55,6.797385,79.888878,-24,681,578,15.6481,0.1959
11/19/2019/,6:18:06,6.797183,79.888634,-24,466,473,14.6716,0.1959
11/19/2019/,6:18:06,6.797183,79.888634,-24,277,282,14.6716,0.1959
11/19/2019/,6:18:06,6.797183,79.888634,-24,200,66,14.6716,0.1959
11/19/2019/,6:18:17,6.796708,79.888542,-24,168,171,16.6246,0.2056
11/19/2019/,6:18:17,6.796708,79.888542,-24,145,148,16.6246,0.2056
11/19/2019/,6:18:17,6.796708,79.888542,-24,125,66,17.6012,0.1959
11/19/2019/,6:18:28,6.796227,79.888382,-24,119,122,15.6481,0.1764
11/19/2019/,6:18:28,6.796227,79.888382,-24,116,119,15.6481,0.1764
11/19/2019/,6:18:28,6.796227,79.888382,-24,115,66,15.6481,0.1862
11/19/2019/,6:18:39,6.795724,79.888214,-24,115,118,15.6481,0.1862
11/19/2019/,6:18:39,6.795724,79.888214,-24,117,120,15.6481,0.1862
11/19/2019/,6:18:39,6.795724,79.888214,-24,119,66,15.6481,0.1667
11/19/2019/,6:18:50,6.795222,79.888016,-24,119,122,16.6246,0.1862
11/19/2019/,6:18:50,6.795222,79.888016,-24,117,120,16.6246,0.1862
11/19/2019/,6:18:50,6.795222,79.888016,-24,112,66,16.6246,0.1959
11/19/2019/,6:19:01,6.79478,79.887856,-24,108,111,17.6012,0.1862
11/19/2019/,6:19:01,6.79478,79.887856,-24,103,105,17.6012,0.1862
11/19/2019/,6:19:01,6.79478,79.887856,-24,103,66,15.6481,0.1862
11/19/2019/,6:19:12,6.794368,79.887665,-24,109,112,15.6481,0.1862
11/19/2019/,6:19:12,6.794368,79.887665,-24,120,123,15.6481,0.1862
11/19/2019/,6:19:12,6.794368,79.887665,-24,123,0,14.6716,0.1959
11/19/2019/,6:19:23,6.793918,79.887474,-24,109,112,15.6481,0.1862
11/19/2019/,6:19:23,6.793918,79.887474,-24,104,106,15.6481,0.1862
11/19/2019/,6:19:23,6.793918,79.887474,-24,106,108,15.6481,0.1959
11/19/2019/,6:19:34,6.793433,79.887321,-24,110,113,13.695,0.1862
11/19/2019/,6:19:34,6.793433,79.887321,-24,116,119,13.695,0.1862
11/19/2019/,6:19:34,6.793433,79.887321,-24,125,128,15.6481,0.1959
11/19/2019/,6:19:45,6.793017,79.887169,-24,131,134,16.6246,0.2056
11/19/2019/,6:19:45,6.793017,79.887169,-24,142,145,16.6246,0.2056
11/19/2019/,6:19:45,6.793017,79.887169,-24,146,149,17.6012,0.2056
11/19/2019/,6:19:56,6.792691,79.887077,-24,147,150,15.6481,0.1959
11/19/2019/,6:19:56,6.792691,79.887077,-24,145,148,15.6481,0.1959
11/19/2019/,6:19:56,6.792691,79.887077,-24,141,144,16.6246,0.1862
11/19/2019/,6:20:07,6.792279,79.886948,-24,137,140,16.6246,0.1959
11/19/2019/,6:20:07,6.792279,79.886948,-24,136,139,16.6246,0.1959
11/19/2019/,6:20:07,6.792279,79.886948,-24,148,151,15.6481,0.2153
11/19/2019/,6:20:18,6.791822,79.886765,-24,169,172,15.6481,0.1959
11/19/2019/,6:20:18,6.791822,79.886765,-24,181,184,15.6481,0.1959
11/19/2019/,6:20:18,6.791822,79.886765,-24,194,198,15.6481,0.1959
11/19/2019/,6:20:29,6.791314,79.886467,-24,215,219,15.6481,0.1862
11/19/2019/,6:20:29,6.791314,79.886467,-24,241,245,15.6481,0.1862
11/19/2019/,6:20:29,6.791314,79.886467,-24,232,236,16.6246,0.1959
11/19/2019/,6:20:40,6.790792,79.886307,-24,210,214,15.6481,0.1959
11/19/2019/,6:20:40,6.790792,79.886307,-24,183,186,15.6481,0.1959
11/19/2019/,6:20:40,6.790792,79.886307,-24,172,175,15.6481,0.1862
11/19/2019/,6:20:51,6.790329,79.886131,-24,168,171,16.6246,0.1959
11/19/2019/,6:20:51,6.790329,79.886131,-24,161,164,16.6246,0.1959
11/19/2019/,6:20:51,6.790329,79.886131,-24,155,158,16.6246,0.2251
11/19/2019/,6:21:02,6.789845,79.885986,-24,143,146,15.6481,0.1959
11/19/2019/,6:21:02,6.789845,79.885986,-24,135,138,15.6481,0.1959
11/19/2019/,6:21:02,6.789845,79.885986,-24,131,134,14.6716,0.1862
11/19/2019/,6:21:13,6.789531,79.88588,-24,134,137,13.695,0.1959
11/19/2019/,6:21:13,6.789531,79.88588,-24,144,147,13.695,0.1959
11/19/2019/,6:21:13,6.789531,79.88588,-24,153,156,13.695,0.1959
11/19/2019/,6:21:24,6.789439,79.885864,-24,152,155,13.695,0.1959
11/19/2019/,6:21:24,6.789439,79.885864,-24,148,151,13.695,0.1959
11/19/2019/,6:21:24,6.789439,79.885864,-24,151,154,15.6481,0.1959
11/19/2019/,6:21:35,6.789099,79.885696,-24,159,162,16.6246,0.1959
11/19/2019/,6:21:35,6.789099,79.885696,-24,171,174,16.6246,0.1959
11/19/2019/,6:21:35,6.789099,79.885696,-24,172,175,14.6716,0.1667
11/19/2019/,6:21:46,6.788815,79.885605,-24,168,171,15.6481,0.1959
11/19/2019/,6:21:46,6.788815,79.885605,-24,166,169,15.6481,0.1959
11/19/2019/,6:21:46,6.788815,79.885605,-24,175,178,14.6716,0.1959
11/19/2019/,6:21:57,6.788467,79.885414,-24,186,189,15.6481,0.1959
11/19/2019/,6:21:57,6.788467,79.885414,-24,196,200,15.6481,0.1959
11/19/2019/,6:22:05,6.788248,79.8853,-24,195,199,15.6481,0.1862
11/19/2019/,6:22:05,6.788248,79.8853,-24,206,210,15.6481,0.1862
11/19/2019/,6:22:13,6.788037,79.885208,-24,228,232,15.6481,0.2056
11/19/2019/,6:22:13,6.788037,79.885208,-24,250,254,15.6481,0.2056
11/19/2019/,6:22:21,6.787771,79.885048,-24,217,221,15.6481,0.2251
11/19/2019/,6:22:21,6.787771,79.885048,-24,172,175,15.6481,0.2251
11/19/2019/,6:22:29,6.787441,79.884941,-24,145,148,15.6481,0.1862
11/19/2019/,6:22:29,6.787441,79.884941,-24,137,140,15.6481,0.1862
11/19/2019/,6:22:37,6.787137,79.884834,-24,133,136,15.6481,0.1862
11/19/2019/,6:22:37,6.787137,79.884834,-24,127,130,15.6481,0.1862
11/19/2019/,6:22:45,6.786808,79.884766,-24,123,126,17.6012,0.1862
11/19/2019/,6:22:45,6.786808,79.884766,-24,120,123,17.6012,0.1862
11/19/2019/,6:22:53,6.78661,79.884735,-24,121,124,10.7654,0.1959
11/19/2019/,6:22:53,6.78661,79.884735,-24,132,135,10.7654,0.1959
11/19/2019/,6:23:01,6.786448,79.88472,-24,183,186,16.6246,0.2056
11/19/2019/,6:23:01,6.786448,79.88472,-24,240,244,16.6246,0.2056
11/19/2019/,6:23:09,6.78629,79.884712,-24,268,272,15.6481,0.1959
11/19/2019/,6:23:09,6.78629,79.884712,-24,285,290,15.6481,0.1959
11/19/2019/,6:23:17,6.785968,79.884689,-24,286,291,15.6481,0.1959
11/19/2019/,6:23:17,6.785968,79.884689,-24,294,299,15.6481,0.1959
11/19/2019/,6:23:17,6.785968,79.884689,-24,301,306,15.6481,0.1959
11/19/2019/,6:23:28,6.785526,79.884636,-24,317,322,14.6716,0.1959
11/19/2019/,6:23:28,6.785526,79.884636,-24,321,326,14.6716,0.1959
11/19/2019/,6:23:28,6.785526,79.884636,-24,314,319,15.6481,0.1862
11/19/2019/,6:23:39,6.785142,79.884613,-24,295,300,14.6716,0.1959
11/19/2019/,6:23:39,6.785142,79.884613,-24,282,287,14.6716,0.1959
0/0/2001/,6:23:43,6.78502,79.88459,-24,279,284,15.6481,0.1862
0/0/2001/,6:23:43,6.78502,79.88459,-24,283,288,15.6481,0.1862
0/0/2001/,6:23:43,6.78502,79.88459,-24,285,290,15.6481,0.1862
11/19/2019/,6:23:57,6.784675,79.884575,-24,282,287,15.6481,0.1862
11/19/2019/,6:23:57,6.784675,79.884575,-24,282,287,15.6481,0.1862
11/19/2019/,6:23:57,6.784675,79.884575,-24,282,287,16.6246,0.1862
11/19/2019/,6:24:08,6.784311,79.884521,-24,284,289,14.6716,0.1959
11/19/2019/,6:24:08,6.784311,79.884521,-24,297,302,14.6716,0.1959
11/19/2019/,6:24:08,6.784311,79.884521,-24,311,316,15.6481,0.1959
11/19/2019/,6:24:19,6.783813,79.884445,-24,327,332,15.6481,0.1959
11/19/2019/,6:24:19,6.783813,79.884445,-24,311,316,15.6481,0.1959
11/19/2019/,6:24:19,6.783813,79.884445,-24,302,307,14.6716,0.2056
11/19/2019/,6:24:30,6.783393,79.884338,-24,307,312,17.6012,0.1862
11/19/2019/,6:24:30,6.783393,79.884338,-24,343,348,17.6012,0.1862
11/19/2019/,6:24:30,6.783393,79.884338,-24,349,354,15.6481,0.1959
11/19/2019/,6:24:41,6.783029,79.884239,-24,331,336,16.6246,0.1862
11/19/2019/,6:24:41,6.783029,79.884239,-24,337,342,16.6246,0.1862
11/19/2019/,6:24:41,6.783029,79.884239,-24,383,389,15.6481,0.1862
11/19/2019/,6:24:52,6.782646,79.884125,-24,439,446,15.6481,0.1764
11/19/2019/,6:24:52,6.782646,79.884125,-24,440,447,15.6481,0.1764
11/19/2019/,6:24:52,6.782646,79.884125,-24,404,410,15.6481,0.1862
11/19/2019/,6:25:03,6.782224,79.884064,-24,317,322,15.6481,0.1764
11/19/2019/,6:25:03,6.782224,79.884064,-24,285,290,15.6481,0.1764
11/19/2019/,6:25:03,6.782224,79.884064,-24,288,293,14.6716,0.1862
11/19/2019/,6:25:14,6.781916,79.883995,-24,295,300,15.6481,0.1862
11/19/2019/,6:25:14,6.781916,79.883995,-24,324,329,15.6481,0.1862
11/19/2019/,6:25:14,6.781916,79.883995,-24,347,352,14.6716,0.1959
11/19/2019/,6:25:25,6.781629,79.883911,-24,377,383,13.695,0.1862
11/19/2019/,6:25:25,6.781629,79.883911,-24,367,373,13.695,0.1862
11/19/2019/,6:25:25,6.781629,79.883911,-24,341,346,15.6481,0.1959
11/19/2019/,6:25:36,6.781329,79.883713,-24,309,314,13.695,0.1959
11/19/2019/,6:25:36,6.781329,79.883713,-24,304,309,13.695,0.1959
11/19/2019/,6:25:36,6.781329,79.883713,-24,318,323,13.695,0.1862
11/19/2019/,6:25:47,6.780871,79.883652,-24,352,357,13.695,0.1667
11/19/2019/,6:25:47,6.780871,79.883652,-24,375,381,13.695,0.1667
11/19/2019/,6:25:47,6.780871,79.883652,-24,375,381,14.6716,0.1959
11/19/2019/,6:25:58,6.780473,79.883492,-24,348,353,14.6716,0.1959
11/19/2019/,6:25:58,6.780473,79.883492,-24,336,341,14.6716,0.1959
11/19/2019/,6:25:58,6.780473,79.883492,-24,346,351,15.6481,0.1959
11/19/2019/,6:26:09,6.780085,79.883347,-24,359,365,13.695,0.1959
11/19/2019/,6:26:09,6.780085,79.883347,-24,355,361,13.695,0.1959
11/19/2019/,6:26:09,6.780085,79.883347,-24,343,348,14.6716,0.1862
11/19/2019/,6:26:20,6.779934,79.883278,-24,320,325,15.6481,0.1862
11/19/2019/,6:26:20,6.779934,79.883278,-24,312,317,15.6481,0.1862
11/19/2019/,6:26:20,6.779934,79.883278,-24,313,318,15.6481,0.1862
11/19/2019/,6:26:31,6.779929,79.883278,-24,311,316,14.6716,0.1862
11/19/2019/,6:26:31,6.779929,79.883278,-24,313,318,14.6716,0.1862
11/19/2019/,6:26:31,6.779929,79.883278,-24,316,321,12.7185,0.1959
11/19/2019/,6:26:42,6.779835,79.883224,-24,326,331,16.6246,0.1959
11/19/2019/,6:26:42,6.779835,79.883224,-24,339,344,16.6246,0.1959
11/19/2019/,6:26:42,6.779835,79.883224,-24,344,349,14.6716,0.1959
11/19/2019/,6:26:53,6.779299,79.88295,-24,350,355,12.7185,0.1862
11/19/2019/,6:26:53,6.779299,79.88295,-24,345,350,12.7185,0.1862
0/0/2001/,6:26:57,6.779088,79.882866,-24,337,342,13.695,0.1862
0/0/2001/,6:26:57,6.779088,79.882866,-24,326,331,13.695,0.1862
0/0/2001/,6:26:57,6.779088,79.882866,-24,314,319,15.6481,0.2056
11/19/2019/,6:27:11,6.778482,79.882591,-24,307,312,13.695,0.1959
11/19/2019/,6:27:11,6.778482,79.882591,-24,299,304,13.695,0.1959
11/19/2019/,6:27:11,6.778482,79.882591,-24,296,301,14.6716,0.1764
11/19/2019/,6:27:22,6.778057,79.882454,-24,297,302,14.6716,0.1959
11/19/2019/,6:27:22,6.778057,79.882454,-24,296,301,14.6716,0.1959
11/19/2019/,6:27:22,6.778057,79.882454,-24,294,299,15.6481,0.1959
11/19/2019/,6:27:33,6.777672,79.882385,-24,293,298,12.7185,0.1862
11/19/2019/,6:27:33,6.777672,79.882385,-24,295,300,12.7185,0.1862
11/19/2019/,6:27:33,6.777672,79.882385,-24,295,300,16.6246,0.1959
11/19/2019/,6:27:44,6.777153,79.882339,-24,294,299,16.6246,0.1959
11/19/2019/,6:27:44,6.777153,79.882339,-24,282,287,16.6246,0.1959
11/19/2019/,6:27:44,6.777153,79.882339,-24,259,263,16.6246,0.1862
11/19/2019/,6:27:55,6.776703,79.882309,-24,201,205,17.6012,0.1862
11/19/2019/,6:27:55,6.776703,79.882309,-24,152,155,17.6012,0.1862
11/19/2019/,6:27:55,6.776703,79.882309,-24,132,135,17.6012,0.1667
11/19/2019/,6:28:06,6.776272,79.882362,-24,133,136,16.6246,0.1862
11/19/2019/,6:28:06,6.776272,79.882362,-24,138,141,16.6246,0.1862
11/19/2019/,6:28:06,6.776272,79.882362,-24,139,142,18.5777,0.1959
11/19/2019/,6:28:06,6.776272,79.882362,-24,136,139,13.695,0.2056
11/19/2019/,6:28:21,6.775965,79.882408,-24,137,140,15.6481,0.1862
11/19/2019/,6:28:21,6.775965,79.882408,-24,140,143,15.6481,0.1862
11/19/2019/,6:28:21,6.775965,79.882408,-24,144,147,15.6481,0.1959
11/19/2019/,6:28:32,6.775779,79.882408,-24,146,149,14.6716,0.1862
11/19/2019/,6:28:32,6.775779,79.882408,-24,145,148,14.6716,0.1862
11/19/2019/,6:28:32,6.775779,79.882408,-24,146,149,12.7185,0.1959
11/19/2019/,6:28:43,6.775344,79.882484,-24,150,153,15.6481,0.1959
11/19/2019/,6:28:43,6.775344,79.882484,-24,155,158,15.6481,0.1959
11/19/2019/,6:28:43,6.775344,79.882484,-24,158,161,14.6716,0.1959
11/19/2019/,6:28:54,6.774903,79.882523,-24,159,162,15.6481,0.2056
11/19/2019/,6:28:54,6.774903,79.882523,-24,160,163,15.6481,0.2056
